Country_Name,ISO3,region,subregion,Ladder Score,Log GDP per capita,Social Support,Healthy Life Expectancy,Personal Freedom,Generosity,Perceptions of Corruption,Dystopia,Tech,Health,Education,Violence,Inequality,Tech_Level,Health_Level,Education_Level,Violence_Level,Inequality_Level
Sierra Leone,SLE,Africa,West Africa,3.245,0.654,0.566,0.253,0.469,0.181,0.053,1.068,34.3,32.7,4.8547077,20494.0,0.57107264,1,1,1,4,3
Singapore,SGP,Asia,Southeast Asia,6.523,2.118,1.361,0.769,0.743,0.168,0.575,0.788,97.8,57.4,12.81329,2468.0,0.42840317,5,4,5,2,1
Slovakia,SVK,Europe,Eastern Europe,6.257,1.706,1.54,0.638,0.566,0.096,0.058,1.653,87.1,54.4,9.799783,1939.0,0.3699517,3,4,4,2,1
Slovenia,SVN,Europe,Southern Europe,6.743,1.786,1.502,0.695,0.789,0.157,0.131,1.683,90.8,67.8,11.370939,404.0,0.42248502,4,5,5,1,1
South Africa,ZAF,Africa,Southern Africa,5.422,1.389,1.369,0.322,0.537,0.078,0.034,1.693,83.6,45.8,5.603404,222915.0,0.7464854,3,3,1,5,5
Spain,ESP,Europe,Southern Europe,6.421,1.766,1.471,0.729,0.619,0.119,0.177,1.54,92.5,60.9,10.514696,35267.0,0.45626763,4,5,4,4,1
Sri Lanka,LKA,Asia,South Asia,3.898,1.361,1.179,0.586,0.583,0.144,0.031,0.014,71.3,34.1,8.462184,5486.0,0.5339537,2,1,3,3,3
Sweden,SWE,Europe,Northern Europe,7.344,1.878,1.501,0.724,0.838,0.221,0.524,1.658,95.3,64.9,11.580874,25581.0,0.43688342,5,5,5,4,1
Switzerland,CHE,Europe,Western Europe,7.06,1.97,1.425,0.747,0.759,0.173,0.498,1.488,92.4,58.8,10.933773,3914.0,0.41825283,4,4,4,2,1
Tanzania,TZA,Africa,Central Africa,3.781,0.82,0.706,0.38,0.709,0.191,0.257,0.717,43.1,31.3,4.4849176,2413.0,0.6125268,1,1,1,2,4
Thailand,THA,Asia,Southeast Asia,5.976,1.484,1.347,0.62,0.756,0.283,0.024,1.463,91.0,68.2,8.68309,11990.0,0.63839746,4,5,3,4,4
Turkiye,TUR,Asia,Middle East,4.975,1.702,1.175,0.631,0.202,0.068,0.115,1.083,87.5,50.0,9.227495,154057.0,0.6011082,3,3,3,5,4
Uganda,UGA,Africa,Central Africa,4.372,0.772,1.151,0.373,0.587,0.178,0.054,1.256,40.4,36.5,4.335872,26218.0,0.62653303,1,2,1,4,4
Ukraine,UKR,Europe,Eastern Europe,4.873,1.35,1.315,0.513,0.631,0.285,0.025,0.753,81.0,38.9,9.874516,2737.0,0.5044114,2,2,4,2,2
United Arab Emirates,ARE,Asia,Middle East,6.733,1.983,1.164,0.563,0.815,0.209,0.258,1.741,97.5,39.6,9.645997,896.0,0.5944058,5,2,4,1,4
United Kingdom,GBR,Europe,Northern Europe,6.749,1.822,1.326,0.672,0.713,0.267,0.351,1.598,93.6,67.2,11.538006,789425.0,0.4572862,5,5,5,5,1
United States,USA,Americas,North America,6.725,1.939,1.392,0.542,0.586,0.223,0.169,1.873,96.7,75.9,10.55677,1001634.0,0.6267754,5,5,4,5,4
Uruguay,URY,Americas,South America,6.611,1.596,1.431,0.592,0.775,0.106,0.22,1.891,89.9,40.3,8.551203,1329.0,0.581869,4,2,3,2,3
Uzbekistan,UZB,Asia,Central Asia,6.195,1.212,1.394,0.539,0.835,0.251,0.215,1.749,84.9,39.0,9.133364,1374.0,0.6106439,3,2,3,2,4
Yemen,YEM,Asia,Middle East,3.561,0.671,1.281,0.293,0.362,0.08,0.113,0.76,43.5,16.1,4.1787615,138.0,0.68257093,1,1,1,1,5
Zimbabwe,ZWE,Africa,Southern Africa,3.341,0.748,0.85,0.232,0.487,0.096,0.131,0.797,47.7,32.4,7.0066104,51469.0,0.68515366,1,1,2,5,5
